"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/index.js", "JavaScript", 26, 0, 8, 8, 42
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/models/AnimeDiscussion.js", "JavaScript", 18, 0, 0, 4, 22
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/models/AnimeMessage.js", "JavaScript", 20, 0, 0, 4, 24
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/models/AnimePost.js", "JavaScript", 24, 0, 0, 4, 28
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/models/Show.js", "JavaScript", 24, 0, 0, 3, 27
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/package-lock.json", "JSON", 0, 3694, 0, 1, 3695
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/package.json", "JSON", 0, 22, 0, 1, 23
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/anime.js", "JavaScript", 83, 0, 15, 27, 125
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/chats.js", "JavaScript", 6, 0, 0, 4, 10
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/games.js", "JavaScript", 6, 0, 0, 4, 10
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/shows.js", "JavaScript", 83, 0, 17, 27, 127
"Total", "-", 290, 3716, 40, 87, 4133